Country,country_id
Afghanistan,1
Albania,2
Algeria,3
Andorra,4
Angola,5
Antigua and Barbuda,6
Argentina,7
Armenia,8
Australia,9
Austria,10
Azerbaijan,11
Bahamas,12
Bahrain,13
Bangladesh,14
Barbados,15
Belarus,16
Belgium,17
Belize,18
Benin,19
Bhutan,20
Bolivia,21
Bosnia and Herzegovina,22
Botswana,23
Brazil,24
Brunei,25
Bulgaria,26
Burkina Faso,27
Burundi,28
Cabo Verde,29
Cambodia,30
Cameroon,31
Canada,32
Central African Republic,33
Chad,34
Chile,35
China,36
Colombia,37
Comoros,38
Congo,39
Costa Rica,40
Croatia,41
Cuba,42
Cyprus,43
Czechia,44
Denmark,45
Djibouti,46
Dominica,47
Dominican Republic,48
Ecuador,49
Egypt,50
El Salvador,51
Equatorial Guinea,52
Eritrea,53
Estonia,54
Eswatini,55
Ethiopia,56
Fiji,57
Finland,58
France,59
Gabon,60
Gambia,61
Georgia,62
Germany,63
Ghana,64
Greece,65
Grenada,66
Guatemala,67
Guinea,68
Guinea-Bissau,69
Guyana,70
Haiti,71
Honduras,72
Hong Kong,73
Hungary,74
Iceland,75
India,76
Indonesia,77
Iran,78
Iraq,79
Ireland,80
Israel,81
Italy,82
Ivory Coast,83
Jamaica,84
Japan,85
Jordan,86
Kazakhstan,87
Kenya,88
Kiribati,89
Kuwait,90
Kyrgyzstan,91
Lao,92
Latvia,93
Lebanon,94
Lesotho,95
Liberia,96
Libya,97
Liechtenstein,98
Lithuania,99
Luxembourg,100
Madagascar,101
Malawi,102
Malaysia,103
Maldives,104
Mali,105
Malta,106
Marshall Islands,107
Mauritania,108
Mauritius,109
Mexico,110
Micronesia,111
Moldova,112
Monaco,113
Mongolia,114
Montenegro,115
Morocco,116
Mozambique,117
Myanmar,118
Namibia,119
Nauru,120
Nepal,121
Netherlands,122
New Zealand,123
Nicaragua,124
Niger,125
Nigeria,126
North Korea,127
North Macedonia,128
Norway,129
Oman,130
Pakistan,131
Palau,132
"Palestine, State of",133
Panama,134
Papua New Guinea,135
Paraguay,136
Peru,137
Philippines,138
Poland,139
Portugal,140
Qatar,141
Romania,142
Russian Federation,143
Rwanda,144
Saint Kitts and Nevis,145
Saint Lucia,146
Saint Vincent and the Grenadines,147
Samoa,148
San Marino,149
Sao Tome and Principe,150
Saudi Arabia,151
Senegal,152
Serbia,153
Seychelles,154
Sierra Leone,155
Singapore,156
Slovakia,157
Slovenia,158
Solomon Islands,159
Somalia,160
South Africa,161
South Korea,162
South Sudan,163
Spain,164
Sri Lanka,165
Sudan,166
Suriname,167
Sweden,168
Switzerland,169
Syrian Arab Republic,170
Tajikistan,171
Tanzania,172
Thailand,173
The Democratic Republic of the Congo,174
Timor-Leste,175
Togo,176
Tonga,177
Trinidad and Tobago,178
Tunisia,179
Turkey,180
Turkmenistan,181
Tuvalu,182
Uganda,183
Ukraine,184
United Arab Emirates,185
United Kingdom,186
United States,187
Uruguay,188
Uzbekistan,189
Vanuatu,190
Venezuela,191
Viet Nam,192
Yemen,193
Zambia,194
Zimbabwe,195
