country_id,year_id,indicator_id,sex_id,Value
1,2011-01-01,1,1,116.45
1,2012-01-01,1,1,111.29
1,2013-01-01,1,1,106.54
1,2014-01-01,1,1,101.45
1,2015-01-01,1,1,97.42
1,2016-01-01,1,1,94.02
1,2017-01-01,1,1,90.34
1,2018-01-01,1,1,88.43
1,2019-01-01,1,1,86.8
1,2020-01-01,1,1,84.3
1,2021-01-01,1,1,82.56
2,2011-01-01,1,1,20.69
2,2012-01-01,1,1,20.91
2,2013-01-01,1,1,20.86
2,2014-01-01,1,1,20.94
2,2015-01-01,1,1,20.28
2,2016-01-01,1,1,18.17
2,2017-01-01,1,1,16.58
2,2018-01-01,1,1,15.58
2,2019-01-01,1,1,15.01
2,2020-01-01,1,1,14.67
2,2021-01-01,1,1,14.52
3,2011-01-01,1,1,11.13
3,2012-01-01,1,1,11.95
3,2013-01-01,1,1,12.68
3,2014-01-01,1,1,12.77
3,2015-01-01,1,1,11.89
3,2016-01-01,1,1,12.73
3,2017-01-01,1,1,12.87
3,2018-01-01,1,1,12.65
3,2019-01-01,1,1,12.3
3,2020-01-01,1,1,12.06
3,2021-01-01,1,1,11.71
4,2011-01-01,1,1,9.57
4,2012-01-01,1,1,8.41
4,2013-01-01,1,1,6.99
4,2014-01-01,1,1,6.92
4,2015-01-01,1,1,7.4
4,2016-01-01,1,1,7.18
4,2017-01-01,1,1,6.4
4,2018-01-01,1,1,6.08
4,2019-01-01,1,1,5.98
4,2020-01-01,1,1,6.09
4,2021-01-01,1,1,5.89
5,2011-01-01,1,1,159.29
5,2012-01-01,1,1,156.56
5,2013-01-01,1,1,153.34
5,2014-01-01,1,1,151.09
5,2015-01-01,1,1,148.07
5,2016-01-01,1,1,146.14
5,2017-01-01,1,1,145.24
5,2018-01-01,1,1,142.57
5,2019-01-01,1,1,141.28
5,2020-01-01,1,1,139.82
5,2021-01-01,1,1,138.4
6,2011-01-01,1,1,40.16
6,2012-01-01,1,1,36.81
6,2013-01-01,1,1,33.76
6,2014-01-01,1,1,33.42
6,2015-01-01,1,1,34.83
6,2016-01-01,1,1,30.37
6,2017-01-01,1,1,30.35
6,2018-01-01,1,1,27.55
6,2019-01-01,1,1,30.83
6,2020-01-01,1,1,32.96
6,2021-01-01,1,1,33.11
7,2011-01-01,1,1,68.26
7,2012-01-01,1,1,68.72
7,2013-01-01,1,1,69.17
7,2014-01-01,1,1,67.79
7,2015-01-01,1,1,65.4
7,2016-01-01,1,1,61.85
7,2017-01-01,1,1,57.78
7,2018-01-01,1,1,51.03
7,2019-01-01,1,1,46.15
7,2020-01-01,1,1,39.87
7,2021-01-01,1,1,39.06
8,2011-01-01,1,1,28.69
8,2012-01-01,1,1,29.08
8,2013-01-01,1,1,25.41
8,2014-01-01,1,1,27.22
8,2015-01-01,1,1,24.66
8,2016-01-01,1,1,24.62
8,2017-01-01,1,1,21.38
8,2018-01-01,1,1,19.53
8,2019-01-01,1,1,19.04
8,2020-01-01,1,1,18.57
8,2021-01-01,1,1,18.51
9,2011-01-01,1,1,15.98
9,2012-01-01,1,1,15.71
9,2013-01-01,1,1,15.06
9,2014-01-01,1,1,13.25
9,2015-01-01,1,1,12.32
9,2016-01-01,1,1,10.97
9,2017-01-01,1,1,10.43
9,2018-01-01,1,1,9.98
9,2019-01-01,1,1,8.94
9,2020-01-01,1,1,8.08
9,2021-01-01,1,1,8.1
10,2011-01-01,1,1,9.61
10,2012-01-01,1,1,9.05
10,2013-01-01,1,1,8.46
10,2014-01-01,1,1,7.95
10,2015-01-01,1,1,7.91
10,2016-01-01,1,1,7.64
10,2017-01-01,1,1,6.99
10,2018-01-01,1,1,5.86
10,2019-01-01,1,1,5.5
10,2020-01-01,1,1,5.36
10,2021-01-01,1,1,5.52
11,2011-01-01,1,1,57.28
11,2012-01-01,1,1,59.74
11,2013-01-01,1,1,61.47
11,2014-01-01,1,1,64.14
11,2015-01-01,1,1,63.09
11,2016-01-01,1,1,58.81
11,2017-01-01,1,1,47.11
11,2018-01-01,1,1,45.09
11,2019-01-01,1,1,49.4
11,2020-01-01,1,1,41.8
11,2021-01-01,1,1,40.08
12,2011-01-01,1,1,33.85
12,2012-01-01,1,1,34.69
12,2013-01-01,1,1,28.78
12,2014-01-01,1,1,33.02
12,2015-01-01,1,1,30.62
12,2016-01-01,1,1,28.64
12,2017-01-01,1,1,26.67
12,2018-01-01,1,1,26.37
12,2019-01-01,1,1,26.02
12,2020-01-01,1,1,25.84
12,2021-01-01,1,1,25.69
13,2011-01-01,1,1,15.73
13,2012-01-01,1,1,15.83
13,2013-01-01,1,1,16.89
13,2014-01-01,1,1,15.06
13,2015-01-01,1,1,14.49
13,2016-01-01,1,1,14.01
13,2017-01-01,1,1,13.24
13,2018-01-01,1,1,11.63
13,2019-01-01,1,1,9.68
13,2020-01-01,1,1,9.18
13,2021-01-01,1,1,8.68
14,2011-01-01,1,1,100.96
14,2012-01-01,1,1,100.96
14,2013-01-01,1,1,99.31
14,2014-01-01,1,1,88.56
14,2015-01-01,1,1,83.66
14,2016-01-01,1,1,83.36
14,2017-01-01,1,1,78.29
14,2018-01-01,1,1,78.36
14,2019-01-01,1,1,77.68
14,2020-01-01,1,1,76.41
14,2021-01-01,1,1,75.5
15,2011-01-01,1,1,44.53
15,2012-01-01,1,1,43.02
15,2013-01-01,1,1,42.19
15,2014-01-01,1,1,41.89
15,2015-01-01,1,1,41.56
15,2016-01-01,1,1,41.22
15,2017-01-01,1,1,41.44
15,2018-01-01,1,1,42.15
15,2019-01-01,1,1,42.16
15,2020-01-01,1,1,42.42
15,2021-01-01,1,1,42.3
16,2011-01-01,1,1,22.39
16,2012-01-01,1,1,23.59
16,2013-01-01,1,1,23.0
16,2014-01-01,1,1,20.61
16,2015-01-01,1,1,17.84
16,2016-01-01,1,1,15.53
16,2017-01-01,1,1,12.94
16,2018-01-01,1,1,11.6
16,2019-01-01,1,1,11.83
16,2020-01-01,1,1,11.9
16,2021-01-01,1,1,11.85
17,2011-01-01,1,1,9.94
17,2012-01-01,1,1,9.09
17,2013-01-01,1,1,7.82
17,2014-01-01,1,1,7.45
17,2015-01-01,1,1,6.86
17,2016-01-01,1,1,6.49
17,2017-01-01,1,1,6.08
17,2018-01-01,1,1,5.72
17,2019-01-01,1,1,5.3
17,2020-01-01,1,1,5.24
17,2021-01-01,1,1,5.33
18,2011-01-01,1,1,74.01
18,2012-01-01,1,1,73.4
18,2013-01-01,1,1,72.83
18,2014-01-01,1,1,70.72
18,2015-01-01,1,1,69.79
18,2016-01-01,1,1,70.52
18,2017-01-01,1,1,69.63
18,2018-01-01,1,1,72.06
18,2019-01-01,1,1,64.4
18,2020-01-01,1,1,56.67
18,2021-01-01,1,1,57.13
19,2011-01-01,1,1,93.65
19,2012-01-01,1,1,93.04
19,2013-01-01,1,1,93.97
19,2014-01-01,1,1,95.48
19,2015-01-01,1,1,95.52
19,2016-01-01,1,1,96.02
19,2017-01-01,1,1,95.55
19,2018-01-01,1,1,95.48
19,2019-01-01,1,1,93.9
19,2020-01-01,1,1,92.94
19,2021-01-01,1,1,92.26
20,2011-01-01,1,1,35.76
20,2012-01-01,1,1,33.87
20,2013-01-01,1,1,32.74
20,2014-01-01,1,1,31.19
20,2015-01-01,1,1,29.52
20,2016-01-01,1,1,27.04
20,2017-01-01,1,1,24.21
20,2018-01-01,1,1,21.63
20,2019-01-01,1,1,19.66
20,2020-01-01,1,1,19.24
20,2021-01-01,1,1,18.98
21,2011-01-01,1,1,75.02
21,2012-01-01,1,1,73.74
21,2013-01-01,1,1,72.66
21,2014-01-01,1,1,71.44
21,2015-01-01,1,1,70.23
21,2016-01-01,1,1,68.82
21,2017-01-01,1,1,68.2
21,2018-01-01,1,1,66.46
21,2019-01-01,1,1,65.63
21,2020-01-01,1,1,64.38
21,2021-01-01,1,1,63.79
22,2011-01-01,1,1,12.46
22,2012-01-01,1,1,12.28
22,2013-01-01,1,1,10.86
22,2014-01-01,1,1,10.66
22,2015-01-01,1,1,10.86
22,2016-01-01,1,1,10.97
22,2017-01-01,1,1,10.84
22,2018-01-01,1,1,10.49
22,2019-01-01,1,1,10.22
22,2020-01-01,1,1,10.05
22,2021-01-01,1,1,9.86
23,2011-01-01,1,1,50.86
23,2012-01-01,1,1,50.62
23,2013-01-01,1,1,50.41
23,2014-01-01,1,1,49.51
23,2015-01-01,1,1,54.22
23,2016-01-01,1,1,49.89
23,2017-01-01,1,1,44.22
23,2018-01-01,1,1,48.81
